Ticker,Name,Fund ID,Category,Inception Date,No. Holdings,Trailing 1-Yr Returns,Trailing 3-Yr Returns,Trailing 5-Yr Returns,Trailing 10-Yr Returns,Trailing 15-Yr Returns,Morningstar Website
PORIX,Trillium P21 Global Equity Fund,FSUSA004DN,International Equity Funds,2007-03-30,123,18.62587,13.77454,10.19413,9.18197,7.52602,https://www.morningstar.com/funds/XNAS/PORIX/quote.html
STRSX,Sterling Capital Special Opportunities Fund,FSUSA04AT0,U.S. Equity Fund,2018-02-01,32,16.12908,12.08554,11.38974,12.27713,10.11349,https://www.morningstar.com/funds/XNAS/STRSX/quote.html
MFLLX,"Morgan Stanley Institutional Fund, Inc. Inception Portfolio",FSUSA001KZ,U.S. Equity Fund,2013-09-13,57,26.69534,19.53788,11.04718,13.05475,9.05111,https://www.morningstar.com/funds/XNAS/MFLLX/quote.html
MMCGX,Morgan Stanley Institutional Fund Trust Discovery Portfolio,FSUSA001HP,U.S. Equity Fund,2013-09-13,56,30.88235,29.55474,14.15527,14.37989,11.38488,https://www.morningstar.com/funds/XNAS/MMCGX/quote.html
PHO,Invesco Water Resources ETF,FSUSA06IGJ,Sector Equity Funds,2005-12-06,37,25.79596,16.09035,10.40126,10.08732,-1000.0,https://www.morningstar.com/etfs/XNAS/PHO/quote.html
PZD,Invesco Cleantech™ ETF,FSUSA078LS,Sector Equity Funds,2006-10-24,60,22.41141,14.19797,12.9476,8.94673,-1000.0,https://www.morningstar.com/etfs/XMEX/PZD/quote.html
HSMVX,Hartford Small Cap Value Fund,FSUSA065V6,U.S. Equity Fund,2018-02-28,62,1.85876,3.70774,4.87602,10.33217,6.82425,https://www.morningstar.com/funds/XNAS/HSMVX/quote.html
GCEUX,Green Century Equity Fund,FSUSA00DLL,U.S. Equity Fund,2018-04-30,362,22.49913,14.71215,11.87087,12.7967,8.20167,https://www.morningstar.com/funds/XNAS/GCEUX/quote.html
FIW,First Trust Water ETF,FSUSA089GL,Sector Equity Funds,2007-05-08,38,26.17719,15.00918,15.02858,14.08257,-1000.0,https://www.morningstar.com/etfs/ARCX/FIW/quote.html
QCLN,First Trust NASDAQ® Clean Edge® Green Energy Index Fund,FSUSA07YW9,Sector Equity Funds,2007-02-08,43,36.59458,19.48258,10.70007,7.28127,-1000.0,https://www.morningstar.com/etfs/XNAS/QCLN/quote.html
EEOFX,Essex Environmental Opportunities Fund,FS0000DBH2,International Equity Funds,2017-09-01,40,13.55932,-1000.0,-1000.0,-1000.0,-1000.0,https://www.morningstar.com/funds/XNAS/EEOFX/quote.html
DOMOX,Domini Impact International Equity Fund,FSUSA07L1X,International Equity Funds,2012-11-30,175,6.22826,4.79887,4.35631,6.6442,-1000.0,https://www.morningstar.com/funds/XNAS/DOMOX/quote.html
BCAIX,Boston Common ESG Impact International Fund,FSUSA0B3Y8,International Equity Funds,2010-12-29,60,15.59092,8.30536,5.11548,-1000.0,-1000.0,https://www.morningstar.com/funds/XNAS/BCAIX/quote.html
REDWX,Aspiration Redwood Fund,FS0000BRL1,U.S. Equity Fund,2015-11-16,34,19.05767,12.71702,-1000.0,-1000.0,-1000.0,https://www.morningstar.com/funds/XNAS/REDWX/quote.html
APHSX,Artisan Small Cap Fund,FSUSA0028A,U.S. Equity Fund,2012-05-07,63,25.33664,21.31089,15.48926,16.32994,10.21414,https://www.morningstar.com/funds/XNAS/APHSX/quote.html
